"endTime","artistName","trackName","msPlayed"
"2022-05-27 02:05","Megan Thee Stallion","Thot Shit",13787
"2022-05-27 02:07","Drake","Fake Love",54898
"2022-05-27 02:19","Lil Uzi Vert","X",71194
"2022-05-27 02:33","Playboi Carti","Magnolia",157893
"2022-05-27 02:45","A Boogie Wit da Hoodie","Say A'",214853
"2022-05-27 02:48","Lil Uzi Vert","Money Longer",198944
"2022-05-27 02:51","Doja Cat","Tia Tamera (feat. Rico Nasty)",211013
"2022-05-27 02:55","Megan Thee Stallion","Thot Shit",184634
"2022-05-27 02:58","Megan Thee Stallion","Big Ole Freak",214850
"2022-05-27 03:04","Megan Thee Stallion","Do It On The Tip (feat. City Girls & Hot Girl Meg)",167370
"2022-05-27 03:07","A Boogie Wit da Hoodie","Swervin (feat. 6ix9ine)",189486
"2022-05-27 03:10","Young M.A","OOOUUU",111673
"2022-05-27 03:46","Summer Walker","Playing Games (with Bryson Tiller) - Extended Version",143226
"2022-05-27 03:50","Dijon","Skin",230625
"2022-05-27 03:53","The Weeknd","Scared To Live",191306
"2022-05-27 03:57","Wale","The Need to Know (feat. SZA)",216831
"2022-05-27 04:00","Giveon","Heartbreak Anniversary",160961
"2022-05-27 04:02","UMI","Butterfly",160500
"2022-05-27 04:07","The Weeknd","Earned It (Fifty Shades Of Grey)",277680
"2022-05-27 04:11","Kanye West","Ghost Town",271386
"2022-05-27 04:14","Giveon","Still Your Best",177445
"2022-05-27 04:18","Frank Ocean","Chanel",210285
"2022-05-27 04:38","The Weeknd","True Colors",29148
"2022-05-27 04:38","Joey Bada$$","Love Is Only a Feeling",10550
"2022-05-27 04:46","Joey Bada$$","Love Is Only a Feeling",141501
"2022-05-27 04:48","Jpaulished","Rain In The Morning",141320
"2022-05-27 04:51","SZA","Prom",196133
"2022-05-27 04:55","Sonder","Nobody But You",213214
"2022-05-27 04:59","Dj NoFace","Lost",275487
"2022-05-27 06:39","THEY.","Count Me In",104073
"2022-05-27 12:35","Brent Faiyaz","Fuck The World (Summer in London)",4437
"2022-05-27 12:39","A$AP Ferg","Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",222986
"2022-05-27 12:42","Shawn Mendes","Lost In Japan",201200
"2022-05-27 12:46","Aminé","Heebiejeebies - Bonus",220160
"2022-05-27 12:50","Sigrid","Strangers",233725
"2022-05-27 12:52","Steve Lacy","C U Girl",129697
"2022-05-27 12:55","Nico Segal","Sunday Candy",226013
"2022-05-27 12:58","dhruv","double take",171743
"2022-05-27 13:00","8percent","dream girl",87379
"2022-05-27 13:03","Dominic Fike","3 Nights",177666
"2022-05-27 13:07","Taylor Swift","King Of My Heart",18738
"2022-05-27 13:07","Frank Ocean","Lost",234093
"2022-05-27 13:30","Miguel","Come Through and Chill (feat. J. Cole & Salaam Remi)",322000
"2022-05-27 13:34","Wheatus","Teenage Dirtbag",241840
"2022-05-27 13:37","ASTN","Butterflies",175225
"2022-05-27 13:40","Mac DeMarco","Freaking Out the Neighborhood",173888
"2022-05-27 13:44","J. Cole","Crooked Smile (feat. TLC)",278573
"2022-05-27 13:49","Daniel Caesar","Get You (feat. Kali Uchis)",278179
"2022-05-27 13:52","Troye Sivan","YOUTH",185194
"2022-05-27 14:06","Grover Washington, Jr.","Just the Two of Us (feat. Bill Withers)",990
